Date, Close/Last, Volume, Open, High, Low
05/29/2020, $11.546, 856833, $11.69, $11.8, $10.91
05/28/2020, $11.6251, 2629033, $11.99, $12.5, $11.5766
05/27/2020, $11.99, 884533, $13.09, $13.09, $11.5704
05/26/2020, $12.82, 246440, $12.5, $13.2189, $12.4438
05/22/2020, $11.9301, 65344, $12.365, $12.365, $11.62
05/21/2020, $12.171, 194850, $12.2, $12.38, $11.78
05/20/2020, $12.2319, 104188, $12.5, $12.6224, $12.2174
05/19/2020, $12.0065, 450789, $11.5, $12.1509, $11.1981
05/18/2020, $11.28, 162626, $10.8, $11.5, $10.61
05/15/2020, $11.28, 125714, $10.8, $11.5, $10.61
05/14/2020, $10.8171, 105607, $9.61, $10.9, $9.0996
05/13/2020, $9.95, 257091, $10.82, $11.33, $9.9
05/12/2020, $10.9268, 172520, $11.6991, $11.7505, $10.8998
05/11/2020, $11.64, 148388, $12.2, $12.75, $11.52
05/08/2020, $12.2378, 116288, $12, $12.25, $11.9318
05/07/2020, $11.8332, 177183, $12.61, $12.61, $11.7802
05/06/2020, $11.77, 118333, $12.515, $12.7, $11.59
05/05/2020, $12.1104, 181503, $12.575, $13.0857, $12.1
05/04/2020, $12.55, 260452, $12.5, $13.14, $11.9982
05/01/2020, $13.81, 160647, $13.94, $14.66, $13.3934
04/30/2020, $14.624, 294924, $15.7, $16.37, $14.25
04/29/2020, $15.6078, 199583, $15.64, $16.3104, $15
04/28/2020, $14.7651, 145935, $14, $15.03, $13.8343
04/27/2020, $13.4072, 137244, $13.565, $13.68, $12.8
04/24/2020, $12.9899, 99302, $12.9757, $13.19, $12.7
04/23/2020, $12.95, 76600, $13.2, $13.48, $12.61
04/22/2020, $12.67, 68072, $13.63, $13.63, $12.5
04/21/2020, $12.57, 50932, $12.321, $12.92, $12.321
04/20/2020, $12.8518, 192038, $12.85, $13.62, $12.15
04/17/2020, $13.0224, 163039, $12.415, $13.53, $12.33
04/16/2020, $12.15, 146799, $13.5, $13.97, $12.0242
04/15/2020, $13.2847, 234287, $14.215, $14.23, $12.9691
04/14/2020, $14.0515, 170848, $13.965, $14.6467, $13.85
04/13/2020, $13.9682, 213180, $14.4, $15.04, $13.33
04/09/2020, $14.4004, 325924, $14, $15.77, $13.9918
04/08/2020, $13.4, 251881, $12.99, $13.5, $11.825
04/07/2020, $11.89, 448417, $11.75, $12.4985, $11.4
04/06/2020, $10.7215, 236690, $11, $11.93, $9.67
04/03/2020, $10.33, 92160, $10.586, $11, $9.6
04/02/2020, $10.44, 47978, $10.5, $10.7345, $9.85
04/01/2020, $10.1809, 117330, $11.35, $11.96, $10.05
03/31/2020, $11.3178, 95761, $11.17, $11.79, $10.9
03/30/2020, $11.4057, 89033, $12.115, $12.2, $10.7
03/27/2020, $12.0158, 133715, $12.515, $13.285, $10.9924
03/26/2020, $12.8178, 259133, $12.435, $13.65, $12.1986
03/25/2020, $12.28, 140536, $12.35, $13.6328, $10.68
03/24/2020, $10.4252, 228882, $10.43, $11.67, $9.8338
03/23/2020, $8.7452, 69291, $9.0647, $10.06, $8.4769
03/20/2020, $8.8212, 94119, $10.09, $11.77, $8.4963
03/19/2020, $8.41, 165614, $10.19, $10.19, $7.4935
03/18/2020, $8.802, 153154, $10.795, $11.48, $6.4933
03/17/2020, $11.12, 87757, $12.425, $14, $10.9914
03/16/2020, $12.99, 67754, $15.5, $15.5, $11.51
03/13/2020, $18, 51682, $20, $20, $16.86
03/12/2020, $17.66, 56716, $16.28, $18.4919, $15.6455
03/11/2020, $20.137, 44559, $21.9995, $22, $19.8488
03/10/2020, $22.62, 114359, $22.48, $22.69, $22.163
03/09/2020, $22.1179, 130864, $21.8584, $23.08, $20.9071
03/06/2020, $24.6972, 34722, $23.0637, $25.59, $23
03/05/2020, $23.8428, 41612, $25.25, $25.5, $23.79
03/04/2020, $26.28, 46680, $26.74, $27.03, $25.3909
03/03/2020, $26.29, 36921, $26.52, $27.29, $26.0793
03/02/2020, $25.9911, 227009, $25.6527, $26.15, $25.0584
02/28/2020, $25.14, 129736, $25.01, $25.6, $24.67
02/27/2020, $25.65, 24296, $24.45, $27.3999, $23.9618
02/26/2020, $26.3279, 21608, $27.8567, $28.1349, $26.3279
02/25/2020, $28.1, 20823, $30.21, $30.21, $28.092
02/24/2020, $30.21, 28598, $28.23, $30.29, $28.23
02/21/2020, $31.86, 10856, $32.43, $32.7092, $31.8385
02/20/2020, $33.5105, 9394, $34.4, $34.4, $33.51
02/19/2020, $34.01, 5147, $34.33, $34.3624, $33.844
